"Ancestor"	"Descendent"	"Speciation.Time"	"Extinction.Time"	"Speciation.Type"
"1"	1	1	40	0	"ROOT"
"2"	1	2	40	0	"GENETIC"
"3"	1	3	40	0	"GENETIC"
"4"	1	4	40	0	"GENETIC"
"5"	1	5	40	0	"GENETIC"
"6"	1	6	40	0	"GENETIC"
"7"	1	7	40	0	"GENETIC"
"8"	1	8	40	0	"GENETIC"
"9"	1	9	40	0	"GENETIC"
"10"	1	10	40	0	"GENETIC"
"11"	7	11	35	0	"Genetic"
"12"	7	12	34	0	"Genetic"
"13"	1	13	23	0	"Genetic"
"14"	4	14	18	0	"Genetic"
"15"	6	15	17	0	"Genetic"
"16"	8	16	17	17	"Genetic"
"17"	11	17	16	0	"Genetic"
"18"	11	18	16	0	"Genetic"
"19"	7	19	15	0	"Genetic"
"20"	3	20	14	0	"Genetic"
"21"	11	21	14	0	"Genetic"
"22"	2	22	13	0	"Genetic"
"23"	9	23	13	0	"Genetic"
"24"	9	24	13	0	"Genetic"
"25"	1	25	12	0	"Genetic"
"26"	17	26	12	0	"Genetic"
"27"	19	27	12	0	"Genetic"
"28"	1	28	11	0	"Genetic"
"29"	3	29	11	0	"Genetic"
"30"	6	30	11	0	"Genetic"
"31"	1	31	10	0	"Genetic"
"32"	5	32	9	0	"Genetic"
"33"	25	33	9	0	"Genetic"
"34"	6	34	2	0	"Genetic"
"35"	9	35	1	0	"Genetic"
"36"	9	36	1	0	"Genetic"
"37"	9	37	0	0	"Genetic"
"38"	14	38	0	0	"Genetic"
